id,language,source,question_type,answer_type,question,options,correct_option_index,correct_answer,explanation,section
2d4c60b6-442a-4557-8525-b6aa09c6ea2f,hi,json,mcq,single_select,फ्रांसीसी क्रांति की निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें और सही उत्तर चुनिये : (a) बैस्टिल का पतन (b) नेशनल असेंबली का गठन (c) फ्रांसीसी गणराज्य की स्थापना (d) मनुष्य के अधिकारों की घोषणा,"['b, d, a, c', 'a, b, c, d', 'b, a, d, c', 'a, b, d, c']",2,"b, a, d, c","फ्रांसीसी क्रांति: फ्रांसीसी क्रांति एक जन आंदोलन था जिसने फ्रांस को हिलाकर रख दिया और दुनिया पर इसका दूरगामी प्रभाव पड़ा। यह 1789 से 1799 तक चला, इसे विश्व इतिहास की सबसे महत्वपूर्ण घटनाओं में से एक माना जाता है। क्रांति की शुरुआत प्रजा वर्ग के विद्रोह के साथ हुई, जिसमें आबादी का एक बड़ा हिस्सा शामिल था, लेकिन इसकी उपेक्षा की गई। प्रजा वर्ग के प्रतिनिधियों ने 20 जून, 1789 को टेनिस कोर्ट की शपथ ली, जब तक कि उन्होंने फ्रांस को एक संविधान नहीं दे दिया, तब तक अलग नहीं होने का संकल्प लिया। इसके बाद बैस्टिल का तूफान और वर्साय पर महिलाओं का मार्च हुआ, ऐसी घटनाएं जिसके माध्यम से क्रांति ने गति पकड़ी। राजा लुई सोलहवें और उनकी पत्नी मैरी एंटोनेट के निष्पादन के परिणामस्वरूप क्रांति अपने सबसे खूनी चरण में प्रवेश कर गई जिसे आतंक के शासन के रूप में जाना जाता है। 1799 में नेपोलियन बोनापार्ट के नेतृत्व में एक तख्तापलट ने एक वाणिज्य दूतावास और बाद में एक साम्राज्य की स्थापना के साथ फ्रांसीसी क्रांति का अंत किया। फ्रांसीसी क्रांति की प्रमुख घटनाएं और उनकी तिथि: नेशनल असेंबली का गठन- 13 जून 1789 बैस्टिल का पतन- 15 जुलाई 1789 मनुष्य के अधिकारों की घोषणा- 26 अगस्त 1789 फ्रांसीसी गणराज्य की स्थापना- 21 सितंबर 1792",अनुभाग - 1
482489a5-9348-4222-812b-7122a81cc33d,hi,json,mcq,single_select,'बोस्टन टी पार्टी’ का संबंध किससे है?,"['इटली का एकीकरण', 'फ्रेंच क्रांति', 'रूसी क्रांति', 'अमेरिकी स्वतंत्रता संग्राम']",3,अमेरिकी स्वतंत्रता संग्राम,"'बोस्टन टी पार्टी’ का संबंध अमेरिकी स्वतंत्रता संग्राम से है। बोस्टन टी पार्टी एक राजनीतिक विरोध था, जो 1717 दिसंबर को सन्स ऑफ लिबर्टी द्वारा मैसाचुसेट्स में सैमुअल एडम्स के नेतृत्व में किया गया था। बोस्टन टी पार्टी 1773 के ब्रिटिश संसद के टी अधिनियम के खिलाफ एक विरोध प्रदर्शन था, इस विरोध में ब्रिटिश ईस्ट इंडिया कंपनी से संबंधित 342 चाय की पेटियों को अमेरिकी देशभक्त द्वारा बोस्टन हार्बर में जहाजों से फेंक दिया गया था, जिन्हें मोहौक इंडियंस के नाम से जाना जाता हैं।",अनुभाग - 1
395152c4-5dcf-4b50-83f9-243910038e9c,hi,json,mcq,single_select,"'ये गर्म, शुष्क हवाएं हैं जो रॉकी पर्वत के पूर्वी ढलानों से उतरती हैं, मुख्यतः सर्दियों में और इन्हें अक्सर 'स्नो ईटर' के रूप में जाना जाता है।' यह _____ का सबसे संभावित विवरण है।","['फोहेन', 'मिस्ट्राल', 'चिनूक', 'हरमट्टन']",2,चिनूक,"चिनूक, गर्म, शुष्क हवा रॉकी पर्वत के पूर्वी ढलानों, मुख्यतः सर्दियों में, से उतरती है। चिनूक एक गर्म हवा है जो सर्दियों में चलती है और इसलिए थोड़े समय के भीतर तापमान बढ़ा देती है। तापमान में यह वृद्धि बर्फ के पिघलने का परिणाम है, और इसलिए लोकप्रिय रूप से 'स्नो ईटर' कहलाती हैं। चिनूक हवाएं तब विकसित होती हैं जब उत्तरी अमेरिका के उत्तर पश्चिमी क्षेत्र में प्रशांत महासागर से रॉकी पर्वत श्रृंखला की ओर गर्म, नम हवा चलती है।",अनुभाग - 1
e29858f3-95cd-458c-8385-72f9ca45aa58,hi,json,mcq,single_select,"पृथ्वी के अक्ष पर पृथ्वी के झुकाव की गति के संबंध में निम्नलिखित कथनों पर विचार करें। 1. पृथ्वी का धुरा अपनी कक्षा के लंबवत नहीं है। 2. दिन और रात की लंबाई पूरे साल बदलती रहती है क्योंकि भूमध्य रेखा पृथ्वी की कक्षा से 66.5 डिग्री झुकी हुई है। 3. अगर पृथ्वी झुकी हुई नहीं होती, तो हमें मौसम का अनुभव नहीं होता। पृथ्वी के झुकाव में परिवर्तन मौसम की तीव्रता को प्रभावित कर सकता है। ऊपर दिए गए निम्नलिखित में से कौन सा/से कथन सही है/हैं?","['केवल 3', 'केवल 2 और 3', 'केवल 1 और 3', 'उपरोक्त सभी']",2,केवल 1 और 3,"पृथ्वी की धुरी पर पृथ्वी के झुकाव की गति के संबंध में केवल कथन 1 और 3 सही हैं। पृथ्वी सूर्य के चारों ओर घूमती है। यह अपने परिभ्रमण मार्ग पर 23.5 डिग्री के कोण पर लंबवत झुका हुआ है, वर्ष के आधे भाग में जब गर्मी होती है तो उत्तरी भाग का झुकाव सूर्य की ओर होता है। दिन और रात की लंबाई पूरे साल बदलती रहती है क्योंकि भूमध्य रेखा पृथ्वी की कक्षा से 23.5 डिग्री झुकी हुई है। इस प्रकार, कथन 2 गलत है। दूसरी छमाही जब ठंड होती है, पृथ्वी सूर्य से दूर होती है। पृथ्वी के झुकाव में परिवर्तन से मौसम की तीव्रता प्रभावित हो सकती है अधिक झुकाव का अर्थ है अधिक गर्मी और कम ठंड; कम झुकाव का अर्थ है कम गर्मी और अधिक ठंड। अत: विकल्प (C) सही है।",अनुभाग - 1
40a501c0-e756-4a12-b280-b419f865ab02,hi,json,mcq,single_select,निम्नलिखित में से कौन-सा/से देश लैंडलॉक्ड हैं/हैं? 1. बोलीविया 2. नेपाल 3. जाम्बिया 4. इज़राइल,"['केवल 1, 2 और 4', 'केवल 1, 3 और 4', 'केवल 1, 2 और 3', 'केवल 2, 3 और 4']",2,"केवल 1, 2 और 3","बोलीविया, नेपाल और जाम्बिया भूमि से घिरे देश हैं। बोलीविया एक दक्षिण अमेरिकी देश है। यह उत्तर और पूर्व में ब्राजील, दक्षिण-पूर्व में पराग्वे, दक्षिण में अर्जेंटीना, दक्षिण-पश्चिम और पश्चिम में चिली और उत्तर-पश्चिम में पेरू से घिरा हुआ है। नेपाल एक एशियाई देश है। यह पूर्व, पश्चिम और दक्षिण में भारत के साथ और उत्तर में चीन के तिब्बत स्वायत्त क्षेत्र से घिरा हुआ है। ज़ाम्बिया एक अफ्रीकी देश है जिसका नाम ज़ाम्बेज़ी नदी के नाम पर रखा गया है। यह दक्षिण-पूर्व में मोज़ाम्बिक, पूर्व में मलावी, उत्तर-पूर्व में तंजानिया, उत्तर में कांगो, पश्चिम में अंगोला, ज़िम्बाब्वे, नामीबिया और दक्षिण में बोत्सवाना वाला एक देश है। इज़राइल यूरोप, एशिया और अफ्रीका के चौराहे पर खड़ा है। भौगोलिक रूप से, यह एशियाई महाद्वीप से संबंधित है और मध्य पूर्व क्षेत्र का हिस्सा है। इज़राइल पश्चिम में भूमध्य सागर, उत्तर में लेबनान और सीरिया, पूर्व में जॉर्डन, दक्षिण पश्चिम में मिस्र और दक्षिण में लाल सागर से घिरा है। इसलिए, इज़राइल एक भूमि से घिरा देश नहीं है। अत: विकल्प (C) सही है।",अनुभाग - 1
6e6543f0-ec03-4e59-b326-5bb14f920234,hi,json,mcq,single_select,इनमें से कौन सा शहर कभी एसीरिया की राजधानी नहीं था,"['अशूर', 'बेबीलोन', 'डूर-शाररुकिन', 'निनेवेह']",1,बेबीलोन,"बेबीलोन को छोड़कर, यह सभी एसीरिया की राजधानी रहे थे।",अनुभाग - 1
d1167fba-9793-427f-a9d2-d1b85f23dcff,hi,json,mcq,single_select,किस मस्कोवीते शासक के शासनकाल में अस्त्राखान के खनाते और कज़ान जीते गए,"['दिमित्री डोंसकोई', 'इवान III', 'इवान IV', 'वसीली III']",2,इवान IV,"इवान IV के शासनकाल के दौरान, रूस ने अस्त्राखान के खनाते, कज़ान और सिबिर पर विजय प्राप्त की, जिससे यह लगभग 4,050,000 किमी2 तक फैला एक बहुसंख्यक और बहुमहाद्वीपीय राज्य बन गया।",अनुभाग - 1
c0f75244-98b6-445c-9e70-edf57ce6bef9,hi,json,mcq,single_select,मध्य युग के दौरान यूरोप में सामंतवाद की वृद्धि की मुख्य वजह थी,"['रोमन कैथोलिक चर्च का पतन', 'औपनिवेशिक साम्राज्यों के बीच प्रतिद्वंद्विता', 'एक मजबूत केंद्र सरकार का पतन', 'अंतर्राष्ट्रीयवाद का दमन']",2,एक मजबूत केंद्र सरकार का पतन,सामंतवाद एक विकेन्द्रीकृत संगठन है जो तब उभरता है जब केंद्रीय प्राधिकरण अपने कार्यों को निष्पादित नहीं कर पाता है और जब यह स्थानीय शक्तियों के उदय को रोक नहीं सकता है।,अनुभाग - 1
48e63ab6-bc93-4049-b213-17711f737d04,hi,json,mcq,single_select,राष्ट्रपति पद के उम्मीदवारों को नामांकित करने के लिए राष्ट्रीय सम्मेलनों का उपयोग करने वाला पहला अमेरिकी राजनीतिक दल कौन सा था?,"['डेमोक्रेटिक-रिपब्लिकन पार्टी', 'नो-नथिंग पार्टी', 'एंटी-मेसोनिक पार्टी', 'व्हिग पार्टी']",2,एंटी-मेसोनिक पार्टी,"एंटी-मेसोनिक पार्टी ने 1832 के चुनावों के लिए संयुक्त राज्य अमेरिका के इतिहास में पहला राष्ट्रपति नामांकन सम्मेलन आयोजित किया, जिसमें बाल्टीमोर के राष्ट्रपति पद के लिए विलियम विर्ट (एक पूर्व मेसन) आमोस एल्मेकर को उप-राष्ट्रपति के लिए नामांकित किया गया था।",अनुभाग - 1
89cfe24c-e747-4836-be4b-f32baf6d577d,hi,json,mcq,single_select,"कई अमेरिकी राज्य, जिनमें सबसे प्रसिद्ध टेक्सास और हवाई हैं, एक समय स्वतंत्र देश हुआ करते थे। निम्नलिखित में से कौन सा राज्य भी एक समय स्वतंत्र था","['वरमोंट', 'नेवादा', 'न्यू मैक्सिको', 'अलास्का']",0,वरमोंट,विंडसर के पूर्वी शहर में स्थित वरमोंट ने 14 वर्षों तक खुद का एक संप्रभु इकाई के रूप में शासन करना जारी रखा। वरमोंट के स्वतंत्र राज्य ने 1785 से 1788 तक अपने सिक्कों को जारी किया और राज्यव्यापी डाक सेवा संचालित की। 1778-89 में और 1790-91 में थॉमस चिटेंडेन गवर्नर थे।,अनुभाग - 1
